minGap,structure,direction,exit,stop,cutoff,sector,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
5,20d,both,atr,0930,0940,false,313,40.6,-0.32,0.80,249,41.8,-0.14,0.91,562,41.1,-0.24,0.85
5,20d,both,atr,0930,0940,true,0,0.0,0.00,0.00,143,44.1,0.18,1.14,143,44.1,0.18,1.14
5,20d,both,atr,0930,1130,false,473,41.9,-0.33,0.79,357,45.9,-0.04,0.97,830,43.6,-0.20,0.86
5,20d,both,atr,0930,1130,true,0,0.0,0.00,0.00,200,47.0,0.15,1.12,200,47.0,0.15,1.12
5,20d,both,atr,pm,0940,false,313,45.0,-0.35,0.79,249,44.2,-0.22,0.87,562,44.7,-0.30,0.82
5,20d,both,atr,pm,0940,true,0,0.0,0.00,0.00,143,47.6,0.33,1.27,143,47.6,0.33,1.27
5,20d,both,atr,pm,1130,false,473,45.7,-0.31,0.81,357,47.6,-0.08,0.94,830,46.5,-0.21,0.86
5,20d,both,atr,pm,1130,true,0,0.0,0.00,0.00,200,49.5,0.27,1.24,200,49.5,0.27,1.24
5,20d,both,pct1,0930,0940,false,313,63.9,-0.32,0.64,249,71.9,-0.24,0.72,562,67.4,-0.29,0.68
5,20d,both,pct1,0930,0940,true,0,0.0,0.00,0.00,143,77.6,0.12,1.21,143,77.6,0.12,1.21
5,20d,both,pct1,0930,1130,false,473,66.6,-0.24,0.71,357,72.0,-0.16,0.80,830,68.9,-0.21,0.75
5,20d,both,pct1,0930,1130,true,0,0.0,0.00,0.00,200,77.5,0.14,1.25,200,77.5,0.14,1.25
5,20d,both,pct1,pm,0940,false,313,68.1,-0.32,0.66,249,75.9,-0.23,0.75,562,71.5,-0.28,0.70
5,20d,both,pct1,pm,0940,true,0,0.0,0.00,0.00,143,83.2,0.26,1.54,143,83.2,0.26,1.54
5,20d,both,pct1,pm,1130,false,473,70.0,-0.20,0.75,357,75.1,-0.13,0.84,830,72.2,-0.17,0.79
5,20d,both,pct1,pm,1130,true,0,0.0,0.00,0.00,200,81.5,0.26,1.56,200,81.5,0.26,1.56
5,20d,both,pct2,0930,0940,false,313,52.1,-0.25,0.78,249,59.0,-0.10,0.91,562,55.2,-0.19,0.84
5,20d,both,pct2,0930,0940,true,0,0.0,0.00,0.00,143,64.3,0.32,1.36,143,64.3,0.32,1.36
