minGap,structure,direction,exit,stop,cutoff,sector,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
3,252d,both,pct2,pm,0940,true,116,58.6,-0.13,0.89,38,55.3,-0.39,0.70,154,57.8,-0.19,0.83
3,252d,both,pct2,pm,1130,false,277,60.3,-0.07,0.94,96,54.2,-0.31,0.75,373,58.7,-0.13,0.89
3,252d,both,pct2,pm,1130,true,148,56.8,-0.19,0.83,56,58.9,-0.12,0.89,204,57.4,-0.17,0.85
3,252d,both,t1030,0930,0940,false,196,39.3,-0.59,0.60,65,50.8,0.27,1.25,261,42.1,-0.38,0.73
3,252d,both,t1030,0930,0940,true,116,37.1,-0.56,0.61,38,55.3,0.74,1.91,154,41.6,-0.24,0.81
3,252d,both,t1030,0930,1130,false,277,40.4,-0.52,0.59,96,47.9,0.31,1.37,373,42.4,-0.31,0.74
3,252d,both,t1030,0930,1130,true,148,37.2,-0.51,0.59,56,48.2,0.69,1.98,204,40.2,-0.18,0.84
3,252d,both,t1030,pm,0940,false,196,40.8,-0.65,0.58,65,50.8,0.20,1.17,261,43.3,-0.44,0.70
3,252d,both,t1030,pm,0940,true,116,38.8,-0.58,0.60,38,55.3,0.55,1.54,154,42.9,-0.30,0.77
3,252d,both,t1030,pm,1130,false,277,41.5,-0.56,0.57,96,47.9,0.27,1.30,373,43.2,-0.35,0.71
3,252d,both,t1030,pm,1130,true,148,38.5,-0.53,0.58,56,48.2,0.56,1.67,204,41.2,-0.23,0.80
3,252d,both,t1200,0930,0940,false,196,41.3,-0.46,0.70,65,40.0,-0.30,0.80,261,41.0,-0.42,0.72
3,252d,both,t1200,0930,0940,true,116,43.1,-0.35,0.76,38,42.1,0.12,1.11,154,42.9,-0.23,0.83
3,252d,both,t1200,0930,1130,false,277,41.9,-0.45,0.68,96,42.7,-0.05,0.96,373,42.1,-0.35,0.75
3,252d,both,t1200,0930,1130,true,148,45.3,-0.31,0.77,56,42.9,0.15,1.14,204,44.6,-0.19,0.86
3,252d,both,t1200,pm,0940,false,196,44.4,-0.46,0.70,65,41.5,-0.38,0.77,261,43.7,-0.44,0.72
3,252d,both,t1200,pm,0940,true,116,46.6,-0.37,0.75,38,42.1,-0.21,0.86,154,45.5,-0.33,0.78
3,252d,both,t1200,pm,1130,false,277,44.0,-0.43,0.70,96,42.7,-0.11,0.91,373,43.7,-0.35,0.75
3,252d,both,t1200,pm,1130,true,148,48.0,-0.31,0.78,56,42.9,-0.08,0.94,204,46.6,-0.25,0.82
5,20d,long,atr,0930,0940,false,218,38.1,-0.34,0.79,132,46.2,0.10,1.07,350,41.1,-0.18,0.88
5,20d,long,atr,0930,0940,true,148,37.8,-0.26,0.83,107,46.7,0.16,1.11,255,41.6,-0.09,0.94
5,20d,long,atr,0930,1130,false,337,40.9,-0.28,0.82,193,48.7,0.12,1.10,530,43.8,-0.13,0.91
5,20d,long,atr,0930,1130,true,208,39.9,-0.22,0.85,152,48.7,0.17,1.14,360,43.6,-0.06,0.96
5,20d,long,atr,pm,0940,false,218,44.0,-0.35,0.79,132,48.5,0.26,1.21,350,45.7,-0.12,0.92
5,20d,long,atr,pm,0940,true,148,43.2,-0.40,0.76,107,48.6,0.26,1.20,255,45.5,-0.13,0.92
5,20d,long,atr,pm,1130,false,337,45.4,-0.26,0.84,193,50.3,0.26,1.23,530,47.2,-0.07,0.95
5,20d,long,atr,pm,1130,true,208,44.2,-0.30,0.81,152,50.0,0.25,1.22,360,46.7,-0.07,0.95
5,20d,long,pct1,0930,0940,false,218,60.1,-0.40,0.57,132,71.2,-0.20,0.76,350,64.3,-0.33,0.64
5,20d,long,pct1,0930,0940,true,148,60.8,-0.33,0.62,107,72.9,-0.08,0.89,255,65.9,-0.23,0.72
5,20d,long,pct1,0930,1130,false,337,64.1,-0.30,0.66,193,71.5,-0.12,0.84,530,66.8,-0.23,0.72
5,20d,long,pct1,0930,1130,true,208,63.5,-0.26,0.69,152,73.7,-0.03,0.96,360,67.8,-0.16,0.79
5,20d,long,pct1,pm,0940,false,218,65.6,-0.39,0.59,132,76.5,-0.01,0.98,350,69.7,-0.25,0.71
5,20d,long,pct1,pm,0940,true,148,65.5,-0.43,0.58,107,78.5,0.06,1.09,255,71.0,-0.22,0.74
5,20d,long,pct1,pm,1130,false,337,68.2,-0.26,0.69,193,75.6,0.05,1.07,530,70.9,-0.15,0.80
5,20d,long,pct1,pm,1130,true,208,66.8,-0.32,0.65,152,77.6,0.09,1.14,360,71.4,-0.15,0.81
